CAGE No.,PARENT,SEX,ADULTS IN CAGE,LITTER DOB,LITTER #,WEAN DATE,DCM wean date,Br FEM DOB,Br FEM AGE,Br MALE DOB,Br MALE AGE,Pairing date,Notes
NFC 700,,Br,2F,,, , ,2/14/19,31.71,12/17/18,40.14,,very pregnant; save
NFC 800,,Br,1F 1M,7/23/19,7,8/13/19,8/15/19,2/14/19,31.71,12/17/18,40.14,,
NFC 900,M (1555): 2/3; F (nfx): 1,Br,2F 1M,8/1/19,8,8/22/19,8/24/19,5/12/19,19.29,4/30/19,21,,
NFC 1000,M (1554): 2/3; F (nfx): 1,Br,2F 1M,8/1/19,6,8/22/19,8/24/19,5/12/19,19.29,4/30/19,21,,
NFC 1100,M (1559): 2/3; F (nfx): 1/2,Br,2F 1M,8/2/19,8,8/23/19,8/25/19,4/16/19,23,4/30/19,21,,
NFC 1200,M (1558): 2/3; F (nfx): 1/2,Br,2F 1M,8/1/19,8,8/22/19,8/24/19,4/16/19,23,4/30/19,21,,
fMerTK 100,1/3,Br,2F 1M,7/24/19,9,8/14/19,8/16/19,,,5/22/19,17.86,,
fMerTK 100,1/3,Br,2F 1M,7/31/19,6,8/21/19,8/23/19,,,5/22/19,17.86,,
fMerTK 200,1/3/4,Br,2F 1M,,, , ,,,3/1/19,29.57,,
fMerTK 201,2/5,M,5,,, , ,,,7/10/19,10.86,,
fMerTK 202,2/5,F,4,,, , ,,,7/10/19,10.86,,
fMerTK 300,1/3,Br,2F 1M,,, , ,,,5/22/19,17.86,7/4/19,
fMerTK 400,1/3/4,Br,2F 1M,7/22/19,6,8/12/19,8/14/19,,,3/1/19,29.57,,
fMerTK 400,1/3/4,Br,2F 1M,8/2/19,2,8/23/19,8/25/19,,,3/1/19,29.57,,
fMerTK 500,1/3/4,Br,2F 1M,,, , ,,,3/1/19,29.57,,
fMerTK 600,3/5,Br,2F 1M,,, , ,,,6/13/19,14.71,8/5/19,
fMerTK 700,3/5,Br,2F 1M,,,,,,,6/13/19,14.71,8/5/19,
MerTK-/- 100,3/6/8/10,Br,2F 1M,,, , ,,,5/23/19,17.71,7/19/19,
MerTK-/- 200,3/4/7,Br,2F 1M,8/3/19,2,8/24/19,8/26/19,,,12/12/18,40.86,,
MerTK-/- 300,3/6/8/10,Br,2F 1M,,, , ,,,5/23/19,17.71,7/19/19,
MerTK-/- 400,3/6/8/10,Br,2F 1M,8/7/19,7,8/28/19,8/30/19,,,5/23/19,17.71,,
MerTK-/- 500,2/8,Br,1F 1M,,, , ,,,1/14/19,36.14,,
MerTK-/- 600,3/6/8/10,Br,2F 1M,,, , ,,,5/23/19,17.71,7/19/19,
MerTK-/- 700,3/6/8/10,Br,2F 1M,,, , ,,,5/23/19,17.71,7/19/19,
MerTK-/- 900,8,Br,2F 1M,8/1/19,3,8/22/19,8/24/19,,,2/25/19,30.14,,
VEcadCre 100,"1457, 1453 + WT M",Br,2F 1M,8/2/19,7,8/23/19,8/25/19,,,1/20/19,35.29,,
VEcadCre 101,1/2/3,M,5,,, , ,,,6/18/19,14,,
VEcadCre 102,1/2/3,F,5,,, , ,,,6/18/19,14,,
VEcadCre 103,1/2/3,F,5,,, , ,,,6/18/19,14,,
VEcadCre 200,"1455, 1456 + WT M",Br,2F 1M,8/8/19,8,8/29/19,8/31/19,,,1/20/19,35.29,,
VEcadCre 300,1461 + WT 2F,Br,2F 1M,8/2/19,9,8/23/19,8/25/19,,,1/20/19,35.29,,parents 4
VEcadCre 300,1461 + WT 2F,Br,2F 1M,8/5/19,8,8/26/19,8/28/19,,,1/20/19,35.29,,
fMer;Cre+_M x fMer_F 100,,Br,2F 1M,7/24/19,9,8/14/19,8/16/19,4/30/19,21,4/22/19,22.14,,
fMer;Cre+_M x fMer_F 200,,Br,2F 1M,7/24/19,9,8/14/19,8/16/19,4/30/19,21,4/22/19,22.14,,
fMer;Cre+_M x fMer_F 300,,Br,2F 1M,7/24/19,9,8/14/19,8/16/19,4/30/19,21,4/22/19,22.14,,
fMer;Cre+_M x fMer_F 400,,Br,1F 1M,7/25/19,8,8/15/19,8/17/19,4/30/19,21,4/22/19,22.14,,
fMer;Cre+_M x fMer_F 400A,,Br,1F,7/31/19,9,8/21/19,8/23/19,4/30/19,21,4/22/19,22.14,,
fMer;Cre+_M x fMer_F 500,,Br,2F 1M,7/25/19,7,8/15/19,8/17/19,4/30/19,21,4/22/19,22.14,,
fMer;Cre+_M x fMer_F 203,2/6/12,F,4,,, , ,,,6/3/19,16.14,,practice mice
fMer;Cre+_M x fMer_F 204,2/6/12,F,4,,, , ,,,6/3/19,16.14,,practice mice
fMer;Cre+_M x fMer_F 900,,Br,1F 1M,8/3/19,11,8/24/19,8/26/19,,,12/21/18,39.57,,parents 9/11
fMer;Cre+_M x fMer_F 1100,,Br,2F 1M,8/8/19,7,8/29/19,8/31/19,,,12/21/18,39.57,,
fMer;Cre+_M x fMer_F 1101,5/11/12/15/16/17/18,M,5,,, , ,,,6/18/19,14,,practice mice
fMer;Cre+_M x fMer_F 1102,5/11/12/15/16/17/18,M,5,,, , ,,,6/18/19,14,,practice mice
fMer;Cre+_M x fMer_F 1500,,Br,2F 1M,7/28/19,9,8/18/19,8/20/19,,,12/21/18,39.57,,
,,,,,,,,,,,,,
